timestamp,cpu_percent,mem_used_gb,mem_available_gb,disk_read_mb,disk_write_mb,gpu_util_percent,gpu_mem_used_gb,gpu_mem_total_gb
2026-05-09T00:34:16.180130,1.8,11.8,18.7,245812.36,507866.86,58,2.1,8.0
2026-05-09T00:35:17.181829,1.4,11.79,18.7,245812.44,507882.01,59,2.1,8.0
2026-05-09T00:36:18.183638,1.7,11.82,18.67,245812.44,507902.5,59,2.1,8.0
2026-05-09T00:37:19.185377,1.6,11.82,18.68,245812.46,507920.64,27,2.1,8.0
2026-05-09T00:38:20.187243,1.8,11.83,18.67,245812.49,507932.75,31,2.1,8.0
2026-05-09T00:39:21.189024,1.8,11.83,18.67,245812.49,507949.68,26,2.1,8.0
2026-05-09T00:40:22.190783,1.6,11.8,18.7,245812.49,507967.77,28,2.11,8.0
2026-05-09T00:41:23.192882,1.6,11.79,18.71,245812.49,507984.25,26,2.1,8.0
2026-05-09T00:42:24.195218,1.6,11.79,18.71,245812.5,508001.0,58,2.1,8.0
2026-05-09T00:43:25.197253,1.5,11.8,18.7,245812.52,508012.36,4,2.1,8.0
2026-05-09T00:44:26.198971,1.8,11.78,18.72,245812.55,508029.33,5,2.1,8.0
2026-05-09T00:45:27.201184,1.8,11.8,18.7,245812.55,508046.82,4,2.1,8.0
2026-05-09T00:46:28.203128,1.7,11.8,18.7,245812.55,508067.15,3,2.09,8.0
2026-05-09T00:47:29.204943,1.8,11.8,18.7,245813.67,508084.07,2,2.1,8.0
2026-05-09T00:48:30.206736,1.6,11.79,18.71,245813.75,508094.69,5,2.1,8.0
2026-05-09T00:49:31.208540,1.7,11.79,18.71,245813.75,508111.78,8,2.1,8.0
2026-05-09T00:50:32.210824,1.5,11.83,18.66,245813.75,508131.74,7,2.1,8.0
2026-05-09T00:51:33.212828,1.8,11.81,18.69,245813.75,508154.61,3,2.1,8.0
2026-05-09T00:52:34.214744,1.8,11.83,18.66,245813.77,508173.69,20,2.1,8.0
2026-05-09T00:53:35.216451,1.7,11.83,18.67,245813.77,508184.65,15,2.1,8.0
2026-05-09T00:54:36.218691,1.6,11.82,18.67,245813.77,508202.86,7,2.1,8.0
2026-05-09T00:55:37.220565,1.6,11.82,18.67,245813.8,508220.21,26,2.1,8.0
2026-05-09T00:56:38.222432,1.7,11.85,18.65,245813.81,508234.89,27,2.1,8.0
